Elliptic curve parameters:
name = secp256k1
mode = test
p = 1241690119
a = 1
b = 35
g = (311072572, 523565415)
n = 1241630743

----------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------
case         s           s_zk        s_rxk       s_zr        z           r           x           k-1         q           a           m1                       m2                       f                        
----------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------
D0           466964943   206200414   260764529   704907542   353650761   855879696   508943501   1150921199  237942599   229022344   -                        -                        0.900350640023141148     
D3           506909370   619579801   1128960312  847367105   1196263109  52646803    508943501   226947357   340457735   166451635   -                        -                        3.722281256053747985     
D22          596411481   1171070438  666971786   1139833785  1014614802  1210907348  508943501   684562505   543422304   52989177    -                        -                        22.10018166539933239     
D16          311286738   55707143    255579595   314746621   453551706   1211969771  1171710290  100092207   3459883     3357151     -                        -                        16.59357681557963880     
D2           467951630   206265133   261686497   598159419   1157930820  47452523    611022252   16524679    130207789   77328263    -                        -                        2.667396434341218811     
D81          1096152016  521662138   574489878   1103274369  557556849   109480926   611022252   581908335   7122353     6432007     -                        -                        81.10409985561271932     
D5           390190610   438813431   1193007922  704170272   805304745   739899954   611022252   118945078   313979662   76210948    -                        -                        5.757879182922642557     
D8           566849585   332683751   234165834   742151757   1231907300  1028809300  1093895005  170918236   175302172   40943069    -                        -                        8.125520610093981963     
D0           982206003   115700619   866505384   1240642893  1103194155  285821383   1093895005  962088404   258436890   206895333   -                        -                        0.559222952602802306     
D8           640674730   320582061   320092669   842268551   323812036   19703095    1093895005  1220413900  201593821   35893267    -                        -                        8.931537522065071424     
D26          187994938   521332881   908292800   211987234   500726058   1060153460  363158373   1193914888  23992296    20048866    -                        -                        26.00311064974946712     
D8           617948404   231376743   386571661   912548273   246516344   425596200   103602495   1045128951  294599869   28748666    -                        -                        8.048260152314545655     
D33          539648063   1161401204  619877602   1044220091  1085243793  632603600   103602495   923571501   504572028   35076035    -                        -                        33.11096034657280961     
D10          887950977   820035182   67915795    1050329665  1213276064  720908173   103602495   779016063   162378688   76057537    -                        -                        10.78177409294755364     
D9           415668553   710245235   947054061   585644650   647565380   723282957   103602495   956966914   169976097   75716359    -                        -                        9.380340581353099665     
D1           808455498   163971121   644484377   985517724   721367588   17865003    103602495   893031069   177062226   100206594   -                        -                        1.636330649058883290     
D31          630390782   701995889   1170025636  833125503   464353420   340335926   689785398   243561096   202734721   22186619    -                        -                        31.64050768618688588     
D16          830885271   428083171   402802100   965139460   403654849   1179018460  689785398   910436826   134254189   25360137    -                        -                        16.88016003225850081     
D7           571675976   1171074514  642232205   976944675   969433791   694443787   689785398   882882278   405268699   166407277   -                        -                        7.037399656506608181     
D10          636195641   362249970   273945671   937132386   473636181   1221783635  1190634650  1031451486  300936745   34322151    -                        -                        10.55440756029539057     
D150         690101286   232811071   457290215   692013939   1218607633  775278149   1190634650  606093724   1912653     1546206     -                        -                        150.5692456244510757     
D17          210004884   834786551   616849076   290568449   313172838   187480290   1190634650  1183227771  80563565    48877754    -                        -                        17.07906936558500621     
D2           1037650907  250825218   786825689   1168090172  1110076348  1101098110  541083520   31810506    130439265   124576052   -                        -                        2.013430462541869604     
D5           631338206   1214139410  658829539   1035040422  518829970   847028985   541083520   7208248     403702216   227635990   -                        -                        5.333688271349359123     
D29          106865209   1062648827  285847125   177314685   401239400   771662113   541083520   928691957   70449476    36415733    -                        -                        29.18103631196988400     
D8           163596297   208160770   1197066270  301655567   999930178   216611063   608748211   261473466   138059270   25537027    -                        -                        8.151331398130252202     
D37          203960319   876529535   569061527   249028517   1175992989  1036961583  608748211   835462524   45068198    23687527    -                        -                        37.00384320406262755     
D625         553589079   505409891   48179188    691784390   568916869   669478490   957133864   1121659115  138195311   807835      -                        -                        625.6350504744161864     
D3           712685364   952580513   1001735594  1117010730  314607775   776863023   957133864   830930715   404325366   308359998   -                        -                        3.089183159872766635     
D1           694842482   427990369   266852113   1111910110  394440047   633080715   957133864   30340065    417067628   277774854   -                        -                        1.540781546050241106     
D29          971131285   243766385   727364900   1163682497  968069046   166735319   957133864   607960721   192551212   8375225     -                        -                        29.10565208695885782     
D4           689184155   419379110   269805045   886902695   405669344   470946334   957133864   32467741    197718540   96028535    -                        -                        4.367234280935349060     
D8           852781061   649749640   203031421   1111865322  1126803006  584330881   293162651   464635063   259084261   75528278    -                        -                        8.602733402713087143     
D4           878731567   165543818   713187749   1018318289  145747584   845145584   293162651   1052730810  139586722   41211235    -                        -                        4.016958433786320647     
D708         509186413   628546510   1122270646  523709253   712081405   896029449   293162651   404060447   14522840    887013      -                        -                        708.6102571213725165     
D9           941394148   611582856   329811292   1038453510  527742740   1092816730  1047704859  198566975   97059362    67859890    -                        -                        9.012435121837067522     
D4           346068417   463962354   1123736806  465202826   453031903   618349932   1047704859  1027107554  119134409   107799599   -                        -                        4.303933950626291290     
D62          988940185   695344487   293595698   1022656266  478816677   326990320   1047704859  1097002467  33716081    11173836    -                        -                        62.22970222580678649     
D26          816624373   786611285   30013088    854103421   78435416    659541218   1128830295  498769576   37479048    29564365    -                        -                        26.60673702952862339     
D14          587529151   666401700   1162758194  857676127   878028213   278772192   1128830295  904383606   270146976   47235199    -                        -                        14.10815904469884841     
D0           870495108   85683512    784811596   1094931163  578499632   991150492   1128830295  1070509081  224436055   197186943   -                        -                        0.434529338993809544     
D3           933401176   224900722   708500454   1107546827  466296934   1175538775  1128830295  210704536   174145651   62672921    -                        -                        3.588483166438021932     
D12          480758496   970654755   751734484   883731759   597975281   571757400   213985020   298798734   402973263   77785233    -                        -                        12.47865073567369786     
D7           607200923   861268273   987563393   1096190109  411344820   1168790360  1190190642  424098016   488989186   118211737   -                        -                        7.285810147599810668     
D0           637370026   62164020    575206006   976684871   277100371   1024518549  1190190642  289346248   339314845   298055181   -                        -                        0.208565473653014607     
D110         1108423280  822312060   286111220   1163471272  207298170   346066548   1190190642  838820436   55047992    7463440     -                        -                        110.1786923992153752     
D0           679460410   75953591    603506819   912754257   650721111   1087127090  241400640   1240450364  233293847   212872716   -                        -                        0.356802846448391253     
D13          1048907227  140951815   907955412   1087366256  734290911   837020822   241400640   138856802   38459029    10513444    -                        -                        13.40681654841172883     
D5           706939848   1009460759  939109832   960323578   465105642   50272100    241400640   1041102474  253383730   200172388   -                        -                        5.042957068584304444     
D22          632666738   846193112   1028104369  1228104764  1148635024  111922917   1081860315  219144634   595438026   37228712    -                        -                        22.72958333879506763     
D86          486669750   758052524   970247969   645987139   950292089   439968199   1081860315  912428638   159317389   8717583     -                        -                        86.95673147017929166     
D15          995155823   502972877   492182946   1236066947  923961683   228505009   1014697082  1144426479  240911124   31511327    -                        -                        15.96165331279130199     
D3           722091167   744165009   1219556901  1234874002  932538329   879576870   552682103   596152121   512782835   209308332   -                        -                        3.555353013849443891     
D3           564151062   716683454   1089098351  928313245   573684921   704553568   552682103   730350872   364162183   199988879   -                        -                        3.583616536997539748     
D5           838713215   553179779   285533436   1211008652  852389546   735003416   761322859   1191738386  372295437   94122341    -                        -                        5.877242035448310832     
D5           446888572   229333462   217555110   581084936   951038966   426613184   761322859   66722996    134196364   44299480    -                        -                        5.176888351736860116     
D16          902866256   373287686   529578570   1196149212  415827062   1077462849  695532177   477595388   293282956   23017388    -                        -                        16.21763885632896313     
D10          259454870   848798571   652287042   349060149   751809671   666777547   695532177   523889045   89605279    80244312    -                        -                        10.57767896371271773     
D1           703303758   419911273   283392485   1187018031  46891772    159399132   695532177   1004832120  483714273   219589485   -                        -                        1.912255830464741970     
D4           234427918   145681543   88746375    335447274   216286584   933304719   695532177   978804088   101019356   32389206    -                        -                        4.497842367608517479     
D3           730009890   608983669   121026221   1014974199  767871681   206988778   800942537   841246321   284964309   160081272   -                        -                        3.804215579946166344     
D7           978282042   952888946   25393096    1120911051  224551014   983804427   800942537   623661979   142629009   122507988   -                        -                        7.778178072763712354     
D17          608014757   651195298   1198450202  1178221914  905884735   923765104   800942537   789137849   570207157   37807600    -                        -                        17.22392582443741470     
D23          131210252   761983298   610857697   230570428   1031036887  791205779   800942537   595403657   99360176    31850076    -                        -                        23.92406529893366659     
D43          1068889344  182363130   886526214   1083474880  819493900   88304528    800942537   38196437    14585536    4145216     -                        -                        43.99363748475350862     
D2           647630171   235608105   412022066   1212863941  313859376   580452133   932564088   928884000   565233770   82396401    -                        -                        2.859446555196021243     
D5           802061435   1031413547  1012278631  1103094361  842345046   345016047   354308818   823429809   301032926   199995583   -                        -                        5.157181631356328504     
D26          200967617   828346910   614251450   370302771   1073635296  146820131   852063405   402009293   169335154   31632463    -                        -                        26.18660804250367731     
D7           788754986   716943475   71811511    1019202470  560677712   469705784   852063405   118746223   230447484   97412534    -                        -                        7.359868854248263370     
D6           380826577   1161732340  460724980   578676842   956527109   331090765   852063405   183803268   197850265   182976312   -                        -                        6.349085995350042906     
D32          856054134   1107533702  990151175   897131095   716300544   661454658   884232306   1071849627  41076961    34514914    -                        -                        32.08855458831506866     
D31          562998994   248980354   314018640   1118138135  191320204   110078949   839141582   1149808277  555139141   7859853     -                        -                        31.67748226334512871     
D45          111108782   1034312551  318426974   199728156   1195247358  675312889   839141582   172640630   88619374    22489408    -                        -                        45.99109727565972390     
D17          488207859   955045420   774793182   550023792   752099961   899447986   839141582   154749588   61815933    55496328    -                        -                        17.20916418109681058     
D65          232533023   212125334   20407689    265291992   1225511662  747660366   839141582   612696194   32758969    3220240     -                        -                        65.87252316597520681     
D1           316710085   148273061   168437024   504134443   457349828   1061225188  452341701   127248657   187424358   129285727   -                        -                        1.146863342463163006     
D4           433845945   814935417   860541271   666218667   534078566   642083987   994524636   149787486   232372722   201473223   -                        -                        4.044882018887442923     
D7           546807550   321195333   225612217   1048897947  747882372   1103078267  994524636   837928729   502090397   44717153    -                        -                        7.182821612100394674     
D12          725429912   565440252   159989660   777813256   1192358173  247686526   994524636   996783286   52383344    44446440    -                        -                        12.72183445963276248     
D5           530049014   530033139   15875       674050328   132432890   1029147802  1181165552  755732605   144001314   98045072    -                        -                        5.406015092732044706     
D1           285575478   114324362   171251116   356981495   67865622    289865390   1181165552  219427450   71406017    71357427    -                        -                        1.602136831531215384     
D618         575040420   505893008   69147412    576729310   753676326   1002200221  1181165552  880044277   1688890     817820      -                        -                        618.5872294636961678     
D10          882818885   1085996467  1038453161  1077863575  141089599   967671774   1235423373  83303591    195044690   102640125   -                        -                        10.58062299709786986     
D17          162256382   1104081465  299805660   262161932   816495478   1167861167  1206411472  532639628   99905550    62350832    -                        -                        17.70756587498303150     
D2           612421273   767810533   1086241483  938009678   139058854   429446887   1206411472  643117449   325588405   286832868   -                        -                        2.676856869136768524     
D0           916360637   152298553   764062084   1154294843  945933068   932090752   1206411472  995825586   237934206   202558019   -                        -                        0.751876197011978084     
D16          167944513   840926102   568649154   284677156   665552401   42790070    1206411472  1205696709  116732643   51211870    -                        -                        16.42053106047484694     
D1           412512082   299521149   112990933   622909954   994254470   828239176   963356255   1061143061  210397872   202114210   -                        -                        1.481940082293075781     
D1           758573996   99631753    658942243   1090777907  644390408   942211749   963356255   622597067   332203911   94166174    -                        -                        1.058041850569398731     
D2           1042008710  253888183   788120527   1178726589  854267746   1217992916  922751488   783637836   136717879   84983557    -                        -                        2.987497722647688187     
D583         1066267717  622161385   444106332   1077973235  27348505    511233692   922751488   311596686   11705518    1065579     -                        -                        583.8716650759821655     
D9           474320429   1151040664  564910508   649421534   884878314   1100830523  1162403911  835634030   175101105   124118219   -                        -                        9.273744606341797411     
D19          95545328    863904445   473271626   147432593   959183075   378533900   1162403911  401833316   51887265    43658063    -                        -                        19.78797009386330309     
D17          489253204   548555753   1182328194  946421220   558775770   612703882   1162403911  1137496202  457168016   32085188    -                        -                        17.09685332060388737     
D7           887042859   1042681223  1085992379  1134766730  1004833616  109692245   1162403911  936323463   247723871   143871246   -                        -                        7.247321838027315062     
D3           576167265   10905841    565261424   690729974   453585555   848539878   1000071071  1032296693  114562709   3353720     -                        -                        3.251863900385243848     
D10          747326209   799426184   1189530768  859563848   346757659   459809342   156233338   790429199   112237639   73900375    -                        -                        10.81762012709678401     
D24          975523644   938177336   37346308    1092665241  197420193   64227447    156233338   1091221934  117141597   38390868    -                        -                        24.43751300439469094     
D3           868676067   438355877   430320190   1110041371  44578478    584071063   156233338   927593095   241365304   144580155   -                        -                        3.031922859676004635     
D13          855825372   650570874   205254498   1124721443  8525169     36520538    156233338   1195764214  268896071   49137159    -                        -                        13.23989598177623578     
D612         433242534   604330672   1070542605  865499018   612858327   12460211    640150938   991029883   432256484   986050      -                        -                        612.8803529232797525     
D1           959852698   89207135    870645563   1110321268  1150860720  181601426   640150938   1004125458  150468570   57041278    -                        -                        1.563904914612887880     
D147         621299869   613935760   7364109     683012515   43498294    443650795   640150938   882446863   61712646    4173409     -                        -                        147.1065404804561450     
D10          268937189   304692129   1205875803  508539911   495815105   293529152   448463281   904388344   239602722   29334467    -                        -                        10.38683024307208308     
D7           563138605   416606293   146532312   1073891426  1200749768  1214033550  106009536   114897479   510752821   52385784    -                        -                        7.952659313068598916     
D1           660328496   242519445   417809051   1147350196  797353505   818824841   106009536   789587569   487021700   173306796   -                        -                        1.399364886994968160     
D3           828546223   649550100   178996123   1035850410  595663901   1218301059  106009536   758716604   207304187   206633662   -                        -                        3.143486369611936703     
D9           474577942   221484745   253093197   549806862   220445495   698084479   156535287   1074260118  75228920    23204422    -                        -                        9.544936952103353403     
D1           400550530   271062798   129487732   618750500   335150311   1153667766  156535287   839868968   218199970   182350560   -                        -                        1.486492819106231425     
D3           891444345   790238374   101205971   1227489326  180115027   33830505    156535287   1056276334  336044981   219354383   -                        -                        3.602564777563619506     
D67          30934573    390377732   882187584   39327230    660650619   871391131   628811746   327930496   8392657     5756602     -                        -                        67.81391730746714815     
D1           688251278   31327406    656923872   821748686   1207843710  340496488   628811746   248031805   133497408   20764238    -                        -                        1.508719270122024222     
D8           569400902   626316646   1184714999  1061514638  143027128   1035252993  628811746   1084270219  492113736   77287166    -                        -                        8.103760021424514388     
D2           967079517   58264738    908814779   1156106273  630376222   509658486   628811746   181221905   189026756   21945737    -                        -                        2.654945605153292413     
D50          484087551   528127498   1197590796  957810755   1016547213  1081829030  1206135255  817094324   473723204   10364347    -                        -                        50.95617678566724946     
D4           247304937   296388926   1192546754  422153841   736300768   5658352     1206135255  697381198   174848904   72456033    -                        -                        4.090603828669449788     
D6           680441089   359998547   320442542   888932211   552048553   421474440   1206135255  546725830   208491122   54967723    -                        -                        6.549271597078889369     
D7           850547538   800497112   50050426    973972627   115735141   1102058913  855266203   1146764108  123425089   109997004   -                        -                        7.277444683857025778     
D8           343531848   111157978   232373870   380284186   1037520856  729768114   855266203   847718916   36752338    12760806    -                        -                        8.710890048794723468     
D54          1063909155  680727194   383181961   1180734327  640823242   447644536   855266203   45418210    116825172   12482607    -                        -                        54.53405638741971128     
D4           476513125   540927101   1177216767  822153039   318880765   207866966   855266203   856571238   345639914   130873211   -                        -                        4.133214863964788026     
D0           916612380   546270      916066110   1039050226  851587136   727649348   964179903   177424677   122437846   59547458    -                        -                        0.009173691343801779     
D3           275160599   65174314    209986285   306864145   505892547   1148960301  964179903   779137656   31703546    21532231    -                        -                        3.026825877912976133     
D5           500338343   1069511436  672457650   793811242   867870717   786533600   964179903   516200116   293472899   206865444   -                        -                        5.170082616601736537     
D0           579551416   29967469    549583947   1100072743  308086962   874347113   334644297   515844611   520521327   59030089    -                        -                        0.507664303199678387     
D8           708627637   320590571   388037066   820433190   115711345   783593761   334644297   1072479468  111805553   37794319    -                        -                        8.482506881523649096     
D0           645944048   35542603    610401445   792335731   377938556   878882831   334644297   950489328   146391683   60377316    -                        -                        0.588674776467373938     
D27          150900437   771068651   621462529   212116155   327730842   339724927   869751013   605014467   61215718    28469001    -                        -                        27.08449976871334543     
D19          250139238   468937636   1022832345  306509183   1113462697  435512936   869751013   749187868   56369945    24659458    -                        -                        19.01654269935697694     
D4           358501041   593771459   1006360325  568974790   407733461   840483964   869751013   513110055   210473749   148027292   -                        -                        4.011229625142369016     
D8           517328594   827189652   931769685   622304662   142274567   522360417   869751013   541534275   104976068   97424322    -                        -                        8.490586693536343008     
D52          1137073815  835957163   301116652   1223307396  1124883504  153252295   869751013   199129475   86233581    16037262    -                        -                        52.12592791712201247     
D190         156888078   1148749349  249769472   307736507   751875791   639746016   1113432911  352303907   150848429   6039649     -                        -                        190.2013426608069442     
D13          458645374   889389289   810886828   654650208   1179280193  134976228   1113432911  1192523979  196004834   66635706    -                        -                        13.34703783283994920     
D30          814882099   1113299105  943213737   1204178772  694726082   152320513   1113432911  889703659   389296673   36288753    -                        -                        30.67890222075142675     
D89          1006954807  1167885630  1080699920  1027240026  222428001   217877596   1113432911  226874122   20285219    12979076    -                        -                        89.98218594297467708     
