Elliptic curve parameters:
name = secp256k1
mode = test
p = 10007
a = 48
b = 22
g = (4, 1668)
n = 9967

----------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------
case         s           s_zk        s_rxk       s_zr        z           r           x           k-1         q           a           m1                       m2                       f                        
----------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------
D7           3279        9211        4035        5294        6285        7800        6157        76          2015        1264        -                        -                        7.287183544303797468     
D96          3787        8826        4928        7483        7326        2571        6157        1193        3696        91          -                        -                        96.98901098901098901     
D11          2691        8615        4043        4605        5392        1829        6157        7231        1914        777         -                        -                        11.08751608751608751     
D7           8122        3905        4217        9208        886         7840        6157        3143        1086        520         -                        -                        7.509615384615384615     
D48          4025        6399        7593        5323        2888        4126        6157        689         1298        131         -                        -                        48.84732824427480916     
D5           6640        6024        616         8043        1428        5722        6157        423         1403        1028        -                        -                        5.859922178988326848     
D12          6185        3261        2924        7032        3135        4609        6157        3902        847         256         -                        -                        12.73828125              
D0           6242        187         6055        8363        3627        5578        6157        1102        2121        2000        -                        -                        0.0935                   
D20          2737        434         2303        2931        7502        4115        6157        4860        194         21          -                        -                        20.66666666666666666     
D29          4957        7151        7773        7314        5358        3160        6157        405         2357        243         -                        -                        29.42798353909465020     
D5           6134        4576        1558        8749        6712        6495        6157        6285        2615        904         -                        -                        5.061946902654867256     
D15          1695        9507        2155        2759        1812        9743        6157        2530        1064        631         -                        -                        15.06656101426307448     
D4           2142        2984        9125        3613        1345        2789        6157        1840        1471        671         -                        -                        4.447093889716840536     
D8           7763        4334        3429        8281        3531        8112        6157        5466        518         511         -                        -                        8.481409001956947162     
D39          6478        7837        8608        9619        965         3501        6157        979         3141        196         -                        -                        39.98469387755102040     
D13          1830        9646        2151        2919        8542        6167        6157        9002        1089        741         -                        -                        13.01754385964912280     
D7           4017        9208        4776        5429        862         1151        6157        5422        1412        1193        -                        -                        7.718357082984073763     
D44          6411        4555        1856        7112        8235        2620        6157        7323        701         102         -                        -                        44.65686274509803921     
D7           7040        9452        7555        9948        6886        3180        6157        4885        2908        1224        -                        -                        7.722222222222222222     
D273         3329        9850        3446        3418        1338        1403        6157        3285        89          36          -                        -                        273.6111111111111111     
D1           5282        1561        3721        9562        1363        7517        6157        6736        4280        1002        -                        -                        1.557884231536926147     
D26          5085        5576        9476        9958        9585        9106        6157        1864        4873        212         -                        -                        26.30188679245283018     
D13          2971        1241        1730        3067        6467        3704        6157        1489        96          91          -                        -                        13.63736263736263736     
D937         3580        6564        6983        3977        8360        7403        6157        4660        397         7           -                        -                        937.7142857142857142     
D46          6315        2273        4042        6556        3681        7651        6157        1368        241         49          -                        -                        46.38775510204081632     
D3           6141        4044        2097        8573        8332        4835        6157        345         2432        1277        -                        -                        3.166797180892717306     
D2           5729        5989        9707        8939        60          7292        6157        8904        3210        2519        -                        -                        2.377530766177054386     
D2           4543        5677        8833        7098        5355        1213        6157        1786        2555        1988        -                        -                        2.855633802816901408     
D165         4224        3302        922         6326        5788        9820        6157        6465        2102        20          -                        -                        165.1                    
D45          1022        4644        6345        1329        7115        2680        6157        6890        307         101         -                        -                        45.98019801980198019     
D30          3643        5329        8281        4221        553         7956        6157        1055        578         175         -                        -                        30.45142857142857142     
D15          5963        1697        4266        7914        8942        8666        7928        2828        1951        110         -                        -                        15.42727272727272727     
D62          6165        9518        6614        6332        5345        2237        7928        6092        167         153         -                        -                        62.20915032679738562     
D6           5743        9953        5757        7866        3879        7749        7928        5825        2123        1497        -                        -                        6.648630594522378089     
D54          2327        9617        2677        2542        86          3970        7928        3241        215         177         -                        -                        54.33333333333333333     
D32          5066        8759        6274        5386        9460        5081        7928        2617        320         266         -                        -                        32.92857142857142857     
D14          3801        5792        7976        7208        7996        8153        7928        5954        3407        394         -                        -                        14.70050761421319797     
D4           6597        7604        8960        9000        9803        2133        7928        3357        2403        1791        -                        -                        4.245672808486878838     
D9           5707        8428        7246        7308        4134        5629        7928        7370        1601        904         -                        -                        9.323008849557522123     
D6           6187        9323        6831        8534        7468        5353        7928        7650        2347        1493        -                        -                        6.244474212993971868     
D2           7415        6863        552         9939        807         3347        7928        836         2524        2367        -                        -                        2.899450781580059146     
D1           5871        1620        4251        8311        4622        1328        7928        2601        2440        991         -                        -                        1.634712411705348133     
D1           7135        986         6149        8787        8346        7084        7928        6683        1652        527         -                        -                        1.870967741935483871     
D0           5029        217         4812        5562        1236        4988        7928        1492        533         232         -                        -                        0.935344827586206896     
D28          2885        7453        5399        3410        9195        6580        7928        907         525         260         -                        -                        28.66538461538461538     
D9           7524        3017        4507        9923        5545        5405        7928        3378        2399        327         -                        -                        9.226299694189602446     
D195         7799        4691        3108        7824        4822        1155        7928        3211        25          24          -                        -                        195.4583333333333333     
D191         4603        4017        586         4661        4826        3799        7928        5575        58          21          -                        -                        191.2857142857142857     
D6           7149        2076        5073        8513        2388        4265        7928        7113        1364        329         -                        -                        6.310030395136778115     
D15          3340        5724        7583        3936        9399        4766        7928        3710        596         360         -                        -                        15.9                     
D17          6789        4025        2764        7726        3367        3892        7928        3586        937         230         -                        -                        17.5                     
