Elliptic curve parameters:
name = secp256k1
mode = test
p = 10007
a = 48
b = 22
g = (4, 1668)
n = 9967

----------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------
case         s           s_zk        s_rxk       s_zr        z           r           x           k-1         q           a           m1                       m2                       f                        
----------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------
D27          2989        3635        9321        3942        6705        616         6157        7329        953         130         -                        -                        27.96153846153846153     
D16          7804        8630        9141        9262        6751        3524        6157        8111        1458        514         -                        -                        16.78988326848249027     
D6           4232        9395        4804        7068        5860        1185        6157        5776        2836        1396        -                        -                        6.729942693409742120     
D1           6681        3161        3520        8988        6982        7039        6157        4333        2307        2067        -                        -                        1.529269472665699080     
D28          3787        8074        5680        4663        9404        6719        6157        7545        876         283         -                        -                        28.53003533568904593     
D6           6243        3827        2416        9048        7073        3496        6157        994         2805        633         -                        -                        6.045813586097946287     
D2           5978        6186        9759        9431        9328        1701        6157        3687        3453        2525        -                        -                        2.449900990099009901     
D8           1327        3949        7345        2195        3182        1902        6157        3381        868         459         -                        -                        8.603485838779956427     
D250         1947        6508        5406        3868        4701        4273        6157        7880        1921        26          -                        -                        250.3076923076923076     
D65          8368        8358        10          8883        9536        8767        6157        1345        515         128         -                        -                        65.296875                
D7           4245        4650        9562        7858        29          5770        6157        4972        3613        632         -                        -                        7.357594936708860759     
D5           7266        5830        1436        8305        111         7797        6157        1579        1039        1032        -                        -                        5.649224806201550387     
D5           3482        7914        5535        5462        5210        8847        6157        629         1980        1502        -                        -                        5.268974700399467376     
D33          1900        7782        4085        2456        4022        2335        6157        1920        556         232         -                        -                        33.54310344827586206     
D2           5439        4049        1390        9455        7114        905         6157        1389        4016        1423        -                        -                        2.845397048489107519     
D180         5360        9008        6319        5655        9790        7570        6157        9353        295         50          -                        -                        180.16                   
D2           5199        4432        767         8429        86          7863        6157        8396        3230        1969        -                        -                        2.250888776028440832     
D119         7803        3224        4579        7851        9359        6364        6157        1175        48          27          -                        -                        119.4074074074074074     
D7           3599        6966        6600        4951        835         4506        6157        4210        1352        895         -                        -                        7.783240223463687150     
D10          1622        6267        5322        2645        7098        6565        6157        1311        1023        599         -                        -                        10.46243739565943238     
D0           5051        1412        3639        7992        698         2953        6157        7770        2941        2110        -                        -                        0.669194312796208530     
D1           4837        2616        2221        8225        8736        4657        6157        5285        3388        1449        -                        -                        1.805383022774327122     
D1           4452        3637        815         6703        9084        8413        6157        3179        2251        2201        -                        -                        1.652430713312130849     
D1           5790        4934        856         9069        754         554         6157        2994        3279        2511        -                        -                        1.964954201513341298     
D6           3724        8325        5366        6182        6397        8614        6157        6070        2458        1266        -                        -                        6.575829383886255924     
D4           6877        5221        1656        9750        345         2195        6157        2673        2873        1131        -                        -                        4.616268788682581786     
D5           7105        8517        8555        9860        9403        7122        6157        3643        2755        1595        -                        -                        5.339811912225705329     
D18          4314        4143        171         4768        5141        1201        6157        406         454         228         -                        -                        18.17105263157894736     
D2           7054        1334        5720        8141        57          2416        6157        1772        1087        532         -                        -                        2.507518796992481203     
D7           3302        210         3092        3957        3438        8881        6157        3305        655         27          -                        -                        7.777777777777777777     
D1           7370        449         6921        8013        6771        1878        6157        7893        643         297         -                        -                        1.511784511784511784     
D24          5084        3676        1408        5632        9818        6317        6157        2049        548         152         -                        -                        24.18421052631578947     
D3           4628        712         3916        9039        9514        9485        6157        5697        4411        217         -                        -                        3.281105990783410138     
D105         6494        4834        1660        6742        7730        9612        6157        733         248         46          -                        -                        105.0869565217391304     
D18          8748        6165        2583        9513        2373        4767        6157        53          765         333         -                        -                        18.51351351351351351     
D1           2522        284         2238        3091        1865        333         6157        7605        569         246         -                        -                        1.154471544715447154     
D1           3614        907         2707        6324        835         8578        6157        5659        2710        904         -                        -                        1.003318584070796460     
D7           4810        4222        588         5662        4990        8538        6157        4483        852         550         -                        -                        7.676363636363636363     
D4           5463        5553        9877        7544        567         9576        6157        168         2081        1301        -                        -                        4.268255188316679477     
D21          2531        4216        8282        3310        1557        1244        6157        4951        779         194         -                        -                        21.73195876288659793     
D17          2133        6026        6074        3028        8748        8828        6157        9774        895         343         -                        -                        17.56851311953352769     
D4           5328        1056        4272        5560        9720        1067        6157        7703        232         224         -                        -                        4.714285714285714285     
D52          8528        1111        7417        8709        8344        1708        6157        7080        181         21          -                        -                        52.90476190476190476     
D12          1396        5630        5733        1873        6285        8724        6157        2229        477         442         -                        -                        12.73755656108597285     
D544         1213        7074        4106        1273        113         3363        6157        5002        60          13          -                        -                        544.1538461538461538     
D117         9235        6686        2549        9588        2992        2948        6157        7191        353         57          -                        -                        117.2982456140350877     
D7           7501        2050        5451        8403        7418        3074        6157        9583        902         285         -                        -                        7.192982456140350877     
D6           2287        7162        5092        3473        4437        4161        6157        1145        1186        1101        -                        -                        6.504995458673932788     
D10          6683        4688        1995        7933        6311        8141        6157        9246        1250        433         -                        -                        10.82678983833718244     
D0           6935        410         6525        8160        1761        531         6157        7392        1225        810         -                        -                        0.506172839506172839     
D57          4892        2128        2764        9747        3577        1669        6157        3609        4855        37          -                        -                        57.51351351351351351     
D2           5566        4910        656         9460        4095        6075        6157        3859        3894        1672        -                        -                        2.936602870813397129     
D9           6134        5641        493         7983        1131        668         6157        1979        1849        587         -                        -                        9.609880749574105621     
D3           4544        6494        8017        7449        6930        7513        6157        9361        2905        1639        -                        -                        3.962172056131787675     
D98          4812        9029        5750        9532        8702        7840        6157        6824        4720        92          -                        -                        98.14130434782608695     
D13          5265        6686        8546        5863        5540        1712        6157        3603        598         481         -                        -                        13.90020790020790020     
D111         1413        5440        5940        2777        6298        2800        6157        751         1364        49          -                        -                        111.0204081632653061     
D31          3660        9895        3732        5332        3642        7084        6157        3284        1672        316         -                        -                        31.31329113924050632     
D0           4877        48          4829        9553        5472        295         6157        9355        4676        201         -                        -                        0.238805970149253731     
D5           5532        6382        9117        7021        9251        199         6157        4028        1489        1065        -                        -                        5.992488262910798122     
D1           7839        358         7481        8526        7057        1189        6157        6898        687         282         -                        -                        1.269503546099290780     
D3           5480        4702        778         7603        4713        2588        6157        3133        2123        1234        -                        -                        3.810372771474878444     
D2           8290        2617        5673        9714        375         903         6157        7954        1424        1170        -                        -                        2.236752136752136752     
D2           5561        5362        199         8497        7962        4251        6157        8130        2936        2625        -                        -                        2.042666666666666666     
D165         6637        3645        2992        7372        4895        8307        6157        1986        735         22          -                        -                        165.6818181818181818     
D125         6784        7279        9472        6902        7449        1066        6157        8076        118         58          -                        -                        125.5                    
D2           5793        2650        3143        8188        2641        4045        6157        552         2395        1003        -                        -                        2.642073778664007976     
D5           3235        5088        8114        5540        2550        9891        6157        729         2305        930         -                        -                        5.470967741935483871     
D6           3125        3497        9595        3995        1159        1173        6157        433         870         515         -                        -                        6.790291262135922330     
D3           3143        619         2524        3566        6098        6156        6157        6994        423         182         -                        -                        3.401098901098901098     
