Elliptic curve parameters:
name = secp256k1
mode = test
p = 100003
a = 0
b = 2
g = (20002, 57568)
n = 99667

--------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------
case         s           s_zk        s_rxk       s_zr        z           r           x           k-1         a           m1          m2          f                        x_recovered 
Case D7881 Count: 1
Case D7882 Count: 1
Case D7884 Count: 2
Case D7887 Count: 1
Case D7888 Count: 1
Case D7890 Count: 1
Case D7891 Count: 1
Case D7894 Count: 1
Case D7897 Count: 1
Case D7898 Count: 2
Case D7902 Count: 1
Case D7907 Count: 1
Case D7909 Count: 1
Case D7914 Count: 1
Case D7915 Count: 2
Case D7918 Count: 1
Case D7919 Count: 1
Case D7921 Count: 1
Case D7923 Count: 1
Case D7926 Count: 1
Case D7927 Count: 2
Case D7930 Count: 1
Case D7933 Count: 1
Case D7934 Count: 1
Case D7935 Count: 1
Case D7936 Count: 1
Case D7945 Count: 1
Case D7948 Count: 2
Case D7951 Count: 1
Case D7954 Count: 1
Case D7956 Count: 1
Case D7957 Count: 1
Case D7963 Count: 1
Case D7966 Count: 1
Case D7969 Count: 2
Case D7975 Count: 1
Case D7976 Count: 1
Case D7978 Count: 1
Case D7979 Count: 1
Case D7980 Count: 1
Case D7983 Count: 1
Case D7984 Count: 1
Case D7985 Count: 1
Case D7990 Count: 2
Case D7991 Count: 1
Case D7992 Count: 1
Case D7995 Count: 2
Case D7996 Count: 1
Case D7998 Count: 1
Case D8001 Count: 1
Case D8004 Count: 1
Case D8005 Count: 1
Case D8010 Count: 1
Case D8011 Count: 2
Case D8012 Count: 1
Case D8014 Count: 1
Case D8016 Count: 1
Case D8018 Count: 2
Case D8020 Count: 2
Case D8021 Count: 1
Case D8023 Count: 1
Case D8025 Count: 1
Case D8031 Count: 1
Case D8033 Count: 2
Case D8035 Count: 2
Case D8039 Count: 2
Case D8040 Count: 2
Case D8044 Count: 2
Case D8045 Count: 2
Case D8050 Count: 2
Case D8051 Count: 1
Case D8052 Count: 1
Case D8056 Count: 1
Case D8057 Count: 1
Case D8058 Count: 1
Case D8059 Count: 1
Case D8062 Count: 1
Case D8063 Count: 1
Case D8067 Count: 1
Case D8068 Count: 2
Case D8070 Count: 2
Case D8071 Count: 2
Case D8072 Count: 1
Case D8074 Count: 1
Case D8076 Count: 1
Case D8081 Count: 2
Case D8082 Count: 1
Case D8085 Count: 3
Case D8097 Count: 1
Case D8098 Count: 1
Case D8100 Count: 1
Case D8107 Count: 2
Case D8109 Count: 1
Case D8111 Count: 1
Case D8112 Count: 1
Case D8113 Count: 3
Case D8114 Count: 1
Case D8119 Count: 1
Case D8121 Count: 2
Case D8123 Count: 1
Case D8125 Count: 2
Case D8127 Count: 1
Case D8128 Count: 1
Case D8129 Count: 1
Case D8131 Count: 2
Case D8135 Count: 1
Case D8137 Count: 1
Case D8141 Count: 1
Case D8144 Count: 1
Case D8145 Count: 1
Case D8147 Count: 1
Case D8148 Count: 1
Case D8154 Count: 1
Case D8158 Count: 3
Case D8160 Count: 1
Case D8163 Count: 1
Case D8167 Count: 1
Case D8177 Count: 2
Case D8178 Count: 1
Case D8179 Count: 2
Case D8184 Count: 1
Case D8185 Count: 2
Case D8186 Count: 1
Case D8192 Count: 1
Case D8193 Count: 1
Case D8194 Count: 1
Case D8195 Count: 2
Case D8196 Count: 2
Case D8200 Count: 2
Case D8205 Count: 1
Case D8206 Count: 1
Case D8212 Count: 2
Case D8213 Count: 1
Case D8216 Count: 1
Case D8220 Count: 1
Case D8222 Count: 2
Case D8223 Count: 1
Case D8224 Count: 1
Case D8226 Count: 1
Case D8229 Count: 3
Case D8232 Count: 1
Case D8238 Count: 1
Case D8241 Count: 1
Case D8246 Count: 1
Case D8250 Count: 1
Case D8251 Count: 2
Case D8255 Count: 1
Case D8258 Count: 1
Case D8259 Count: 2
Case D8263 Count: 1
Case D8264 Count: 1
Case D8265 Count: 1
Case D8266 Count: 1
Case D8267 Count: 2
Case D8272 Count: 1
Case D8275 Count: 2
Case D8277 Count: 1
Case D8283 Count: 2
Case D8286 Count: 1
Case D8288 Count: 2
Case D8289 Count: 1
Case D8294 Count: 1
Case D8295 Count: 1
Case D8298 Count: 1
Case D8301 Count: 1
Case D8302 Count: 1
Case D8303 Count: 1
Case D8304 Count: 1
Case D8310 Count: 2
Case D8311 Count: 1
Case D8312 Count: 1
Case D8315 Count: 1
Case D8316 Count: 1
Case D8317 Count: 2
Case D8319 Count: 1
Case D8320 Count: 1
Case D8326 Count: 1
Case D8330 Count: 1
Case D8332 Count: 1
Case D8333 Count: 1
Case D8334 Count: 1
Case D8336 Count: 1
Case D8339 Count: 1
Case D8341 Count: 1
Case D8343 Count: 1
Case D8345 Count: 1
Case D8346 Count: 1
Case D8351 Count: 1
Case D8354 Count: 1
Case D8356 Count: 1
Case D8358 Count: 1
Case D8371 Count: 1
Case D8374 Count: 1
Case D8381 Count: 1
Case D8383 Count: 1
Case D8385 Count: 1
Case D8386 Count: 1
Case D8387 Count: 2
Case D8388 Count: 1
Case D8392 Count: 1
Case D8393 Count: 1
Case D8396 Count: 1
Case D8399 Count: 1
Case D8400 Count: 1
Case D8401 Count: 1
Case D8402 Count: 1
Case D8403 Count: 2
Case D8404 Count: 1
Case D8406 Count: 1
Case D8408 Count: 1
Case D8414 Count: 1
Case D8417 Count: 1
Case D8420 Count: 1
Case D8421 Count: 1
Case D8427 Count: 1
Case D8430 Count: 1
Case D8438 Count: 1
Case D8442 Count: 1
Case D8444 Count: 1
Case D8449 Count: 1
Case D8450 Count: 1
Case D8451 Count: 1
Case D8452 Count: 1
Case D8455 Count: 2
Case D8458 Count: 1
Case D8460 Count: 1
Case D8461 Count: 1
Case D8462 Count: 1
Case D8466 Count: 1
Case D8472 Count: 1
Case D8473 Count: 2
Case D8479 Count: 1
Case D8480 Count: 1
Case D8481 Count: 1
Case D8487 Count: 2
Case D8501 Count: 1
Case D8503 Count: 1
Case D8507 Count: 1
Case D8508 Count: 2
Case D8511 Count: 1
Case D8513 Count: 1
Case D8514 Count: 2
Case D8515 Count: 1
Case D8523 Count: 1
Case D8524 Count: 1
Case D8526 Count: 1
Case D8527 Count: 1
Case D8532 Count: 1
Case D8539 Count: 1
Case D8540 Count: 1
Case D8542 Count: 1
Case D8544 Count: 1
Case D8546 Count: 1
Case D8548 Count: 1
Case D8549 Count: 1
Case D8551 Count: 1
Case D8554 Count: 1
Case D8557 Count: 1
Case D8558 Count: 1
Case D8562 Count: 1
Case D8564 Count: 2
Case D8577 Count: 1
Case D8578 Count: 1
Case D8579 Count: 1
Case D8581 Count: 2
Case D8582 Count: 1
Case D8583 Count: 1
Case D8584 Count: 1
Case D8587 Count: 1
Case D8588 Count: 1
Case D8590 Count: 1
Case D8591 Count: 1
Case D8599 Count: 1
Case D8601 Count: 1
Case D8603 Count: 1
Case D8604 Count: 1
Case D8605 Count: 1
Case D8607 Count: 1
Case D8611 Count: 1
Case D8615 Count: 2
Case D8618 Count: 2
Case D8619 Count: 1
Case D8621 Count: 1
Case D8623 Count: 2
Case D8625 Count: 1
Case D8629 Count: 1
Case D8632 Count: 2
Case D8634 Count: 1
Case D8635 Count: 1
Case D8636 Count: 2
Case D8637 Count: 1
Case D8639 Count: 1
Case D8642 Count: 2
Case D8643 Count: 1
Case D8645 Count: 2
Case D8646 Count: 1
Case D8649 Count: 1
Case D8650 Count: 2
Case D8652 Count: 2
Case D8657 Count: 1
Case D8661 Count: 1
Case D8666 Count: 2
Case D8676 Count: 2
Case D8677 Count: 2
Case D8678 Count: 1
Case D8680 Count: 1
Case D8683 Count: 2
Case D8684 Count: 1
Case D8686 Count: 1
Case D8689 Count: 1
Case D8690 Count: 1
Case D8693 Count: 1
Case D8694 Count: 1
Case D8696 Count: 1
Case D8700 Count: 1
Case D8702 Count: 1
Case D8703 Count: 1
Case D8704 Count: 1
Case D8705 Count: 1
Case D8706 Count: 1
Case D8710 Count: 1
Case D8712 Count: 1
Case D8713 Count: 1
Case D8715 Count: 1
Case D8717 Count: 1
Case D8718 Count: 1
Case D8720 Count: 1
Case D8722 Count: 1
Case D8728 Count: 1
Case D8731 Count: 1
Case D8734 Count: 1
Case D8736 Count: 1
Case D8738 Count: 1
Case D8740 Count: 1
Case D8742 Count: 2
Case D8744 Count: 1
Case D8745 Count: 1
Case D8748 Count: 1
Case D8749 Count: 1
Case D8751 Count: 1
Case D8752 Count: 1
Case D8753 Count: 1
Case D8754 Count: 1
Case D8756 Count: 1
Case D8758 Count: 1
Case D8759 Count: 2
Case D8761 Count: 2
Case D8762 Count: 1
Case D8764 Count: 1
Case D8765 Count: 1
Case D8767 Count: 1
Case D8768 Count: 1
Case D8771 Count: 2
Case D8774 Count: 1
Case D8776 Count: 1
Case D8777 Count: 1
Case D8779 Count: 1
Case D8782 Count: 1
Case D8784 Count: 1
Case D8785 Count: 1
Case D8786 Count: 1
Case D8789 Count: 3
Case D8790 Count: 1
Case D8791 Count: 1
Case D8797 Count: 1
Case D8803 Count: 1
Case D8804 Count: 1
Case D8805 Count: 1
Case D8807 Count: 2
Case D8810 Count: 2
Case D8813 Count: 1
Case D8815 Count: 1
Case D8816 Count: 1
Case D8822 Count: 2
Case D8826 Count: 1
Case D8827 Count: 1
Case D8830 Count: 2
Case D8831 Count: 1
Case D8837 Count: 1
Case D8839 Count: 1
Case D8840 Count: 1
Case D8843 Count: 1
Case D8845 Count: 1
Case D8850 Count: 1
Case D8853 Count: 1
Case D8854 Count: 1
Case D8857 Count: 1
Case D8858 Count: 2
Case D8861 Count: 2
Case D8869 Count: 1
Case D8871 Count: 1
Case D8877 Count: 1
Case D8882 Count: 1
Case D8883 Count: 2
Case D8887 Count: 1
Case D8892 Count: 2
Case D8897 Count: 1
Case D8898 Count: 1
Case D8900 Count: 2
Case D8902 Count: 1
Case D8905 Count: 1
Case D8907 Count: 1
Case D8908 Count: 1
Case D8912 Count: 2
Case D8913 Count: 1
Case D8916 Count: 1
Case D8920 Count: 1
Case D8921 Count: 1
Case D8922 Count: 1
Case D8924 Count: 1
Case D8928 Count: 2
Case D8929 Count: 1
Case D8931 Count: 1
Case D8932 Count: 1
Case D8933 Count: 2
Case D8935 Count: 1
Case D8936 Count: 1
Case D8937 Count: 1
Case D8942 Count: 1
Case D8944 Count: 1
Case D8945 Count: 1
Case D8948 Count: 2
Case D8950 Count: 3
Case D8952 Count: 1
Case D8953 Count: 3
Case D8954 Count: 1
Case D8957 Count: 1
Case D8958 Count: 1
Case D8959 Count: 2
Case D8961 Count: 2
Case D8964 Count: 2
Case D8972 Count: 1
Case D8974 Count: 1
Case D8979 Count: 2
Case D8980 Count: 1
Case D8984 Count: 1
Case D8987 Count: 1
Case D8994 Count: 1
Case D8995 Count: 1
Case D8996 Count: 1
Case D8999 Count: 2
Case D9003 Count: 2
Case D9005 Count: 1
Case D9011 Count: 2
Case D9012 Count: 2
Case D9013 Count: 2
Case D9014 Count: 1
Case D9016 Count: 1
Case D9023 Count: 1
Case D9026 Count: 1
Case D9034 Count: 1
Case D9038 Count: 1
Case D9043 Count: 1
Case D9044 Count: 1
Case D9046 Count: 1
Case D9048 Count: 1
Case D9051 Count: 2
Case D9053 Count: 1
Case D9056 Count: 1
Case D9060 Count: 2
Case D9062 Count: 1
Case D9069 Count: 1
Case D9073 Count: 2
Case D9074 Count: 1
Case D9081 Count: 1
Case D9082 Count: 1
Case D9083 Count: 2
Case D9087 Count: 3
Case D9088 Count: 2
Case D9093 Count: 2
Case D9095 Count: 2
Case D9103 Count: 1
Case D9114 Count: 1
Case D9115 Count: 1
Case D9121 Count: 2
Case D9122 Count: 1
Case D9126 Count: 1
Case D9135 Count: 1
Case D9137 Count: 1
Case D9145 Count: 1
Case D9147 Count: 1
Case D9152 Count: 2
Case D9155 Count: 1
Case D9156 Count: 1
Case D9157 Count: 1
Case D9158 Count: 2
Case D9160 Count: 2
Case D9161 Count: 1
Case D9163 Count: 1
Case D9165 Count: 1
Case D9176 Count: 1
Case D9177 Count: 1
Case D9181 Count: 1
Case D9183 Count: 1
Case D9185 Count: 1
Case D9188 Count: 1
Case D9191 Count: 1
Case D9194 Count: 2
Case D9195 Count: 2
Case D9199 Count: 1
Case D9200 Count: 1
Case D9205 Count: 1
Case D9213 Count: 1
Case D9214 Count: 1
Case D9215 Count: 1
Case D9216 Count: 1
Case D9228 Count: 1
Case D9232 Count: 1
Case D9235 Count: 2
Case D9238 Count: 1
Case D9240 Count: 1
Case D9243 Count: 1
Case D9245 Count: 1
Case D9247 Count: 1
Case D9248 Count: 2
Case D9250 Count: 2
Case D9251 Count: 1
Case D9253 Count: 2
Case D9257 Count: 1
Case D9259 Count: 1
Case D9269 Count: 1
Case D9270 Count: 1
Case D9276 Count: 1
Case D9279 Count: 1
Case D9288 Count: 1
Case D9291 Count: 2
Case D9298 Count: 2
Case D9305 Count: 1
Case D9312 Count: 1
Case D9313 Count: 1
Case D9318 Count: 1
Case D9319 Count: 2
Case D9323 Count: 1
Case D9327 Count: 1
Case D9332 Count: 1
Case D9335 Count: 1
Case D9337 Count: 1
Case D9350 Count: 1
Case D9351 Count: 1
Case D9354 Count: 1
Case D9355 Count: 1
Case D9356 Count: 1
Case D9358 Count: 1
Case D9363 Count: 1
Case D9364 Count: 1
Case D9369 Count: 1
Case D9370 Count: 1
Case D9372 Count: 1
Case D9375 Count: 1
Case D9378 Count: 1
Case D9382 Count: 1
Case D9384 Count: 1
Case D9386 Count: 2
Case D9392 Count: 1
Case D9393 Count: 1
Case D9394 Count: 1
Case D9398 Count: 2
Case D9403 Count: 1
Case D9408 Count: 1
Case D9409 Count: 1
Case D9414 Count: 1
Case D9417 Count: 1
Case D9418 Count: 1
Case D9421 Count: 2
Case D9428 Count: 1
Case D9429 Count: 1
Case D9430 Count: 1
Case D9433 Count: 1
Case D9435 Count: 1
Case D9438 Count: 1
Case D9439 Count: 1
Case D9442 Count: 1
Case D9446 Count: 1
Case D9448 Count: 1
Case D9450 Count: 1
Case D9452 Count: 1
Case D9453 Count: 1
Case D9454 Count: 2
Case D9462 Count: 3
Case D9463 Count: 2
Case D9464 Count: 1
Case D9465 Count: 2
Case D9466 Count: 1
Case D9467 Count: 1
Case D9469 Count: 1
Case D9470 Count: 1
Case D9473 Count: 1
Case D9475 Count: 1
Case D9477 Count: 2
Case D9480 Count: 1
Case D9483 Count: 1
Case D9486 Count: 1
Case D9489 Count: 2
Case D9491 Count: 1
Case D9493 Count: 1
Case D9495 Count: 1
Case D9497 Count: 1
Case D9498 Count: 1
Case D9501 Count: 1
Case D9502 Count: 1
Case D9504 Count: 2
Case D9508 Count: 1
Case D9511 Count: 1
Case D9513 Count: 1
Case D9520 Count: 1
Case D9521 Count: 1
Case D9522 Count: 2
Case D9525 Count: 1
Case D9527 Count: 1
Case D9528 Count: 1
Case D9532 Count: 1
Case D9536 Count: 2
Case D9538 Count: 1
Case D9540 Count: 1
Case D9543 Count: 1
Case D9545 Count: 2
Case D9547 Count: 1
Case D9548 Count: 1
Case D9549 Count: 1
Case D9554 Count: 1
Case D9557 Count: 1
Case D9560 Count: 1
Case D9561 Count: 1
Case D9568 Count: 1
Case D9571 Count: 1
Case D9580 Count: 1
Case D9582 Count: 1
Case D9584 Count: 1
Case D9591 Count: 1
Case D9592 Count: 1
Case D9605 Count: 1
Case D9607 Count: 1
Case D9608 Count: 1
Case D9609 Count: 1
Case D9610 Count: 1
Case D9613 Count: 1
Case D9615 Count: 1
Case D9617 Count: 2
Case D9619 Count: 1
Case D9626 Count: 1
Case D9630 Count: 1
Case D9634 Count: 1
Case D9635 Count: 1
Case D9640 Count: 1
Case D9642 Count: 1
Case D9643 Count: 1
Case D9644 Count: 1
Case D9648 Count: 1
Case D9650 Count: 1
Case D9651 Count: 1
Case D9653 Count: 1
Case D9655 Count: 1
Case D9657 Count: 1
Case D9662 Count: 2
Case D9663 Count: 1
Case D9678 Count: 2
Case D9681 Count: 1
Case D9682 Count: 2
Case D9683 Count: 1
Case D9684 Count: 2
Case D9687 Count: 1
Case D9690 Count: 1
Case D9699 Count: 1
Case D9710 Count: 2
Case D9711 Count: 1
Case D9717 Count: 1
Case D9722 Count: 1
Case D9724 Count: 1
Case D9726 Count: 1
Case D9729 Count: 1
Case D9734 Count: 1
Case D9744 Count: 2
Case D9745 Count: 3
Case D9748 Count: 1
Case D9749 Count: 1
Case D9752 Count: 1
Case D9755 Count: 1
Case D9759 Count: 1
Case D9760 Count: 2
Case D9761 Count: 3
Case D9765 Count: 1
Case D9767 Count: 2
Case D9782 Count: 1
Case D9784 Count: 2
Case D9786 Count: 1
Case D9788 Count: 1
Case D9790 Count: 1
Case D9794 Count: 1
Case D9795 Count: 2
Case D9797 Count: 1
Case D9801 Count: 1
Case D9802 Count: 1
Case D9805 Count: 1
Case D9806 Count: 1
Case D9811 Count: 1
Case D9820 Count: 1
Case D9821 Count: 1
Case D9822 Count: 1
Case D9823 Count: 2
Case D9833 Count: 1
Case D9836 Count: 1
Case D9840 Count: 1
Case D9841 Count: 2
Case D9847 Count: 1
Case D9854 Count: 1
Case D9855 Count: 1
Case D9858 Count: 1
Case D9867 Count: 3
Case D9871 Count: 1
Case D9874 Count: 2
Case D9878 Count: 1
Case D9879 Count: 1
Case D9885 Count: 1
Case D9890 Count: 1
Case D9895 Count: 1
Case D9896 Count: 1
Case D9902 Count: 1
Case D9903 Count: 1
Case D9904 Count: 2
Case D9908 Count: 1
Case D9909 Count: 1
Case D9914 Count: 1
Case D9915 Count: 1
Case D9919 Count: 1
Case D9920 Count: 1
Case D9922 Count: 1
Case D9926 Count: 1
Case D9927 Count: 2
Case D9935 Count: 1
Case D9937 Count: 1
Case D9939 Count: 1
Case D9944 Count: 2
Case D9946 Count: 3
Case D9949 Count: 1
Case D9950 Count: 1
Case D9953 Count: 1
Case D9954 Count: 1
Case D9960 Count: 1
Case D9965 Count: 1
Case D9970 Count: 1
Case D9976 Count: 1
Case D9977 Count: 2
Case D9978 Count: 1
Case D9980 Count: 2
Case D9982 Count: 1
Case D9986 Count: 1
Case D9988 Count: 1
Case D9989 Count: 1
Case D9999 Count: 1
Case D10007 Count: 1
Case D10013 Count: 1
Case D10014 Count: 1
Case D10016 Count: 1
Case D10018 Count: 1
Case D10019 Count: 1
Case D10023 Count: 1
Case D10025 Count: 1
Case D10028 Count: 1
Case D10033 Count: 1
Case D10037 Count: 1
Case D10038 Count: 1
Case D10039 Count: 1
Case D10041 Count: 1
Case D10048 Count: 1
Case D10049 Count: 1
Case D10054 Count: 1
Case D10056 Count: 1
Case D10062 Count: 1
Case D10063 Count: 1
Case D10064 Count: 2
Case D10076 Count: 1
Case D10080 Count: 1
Case D10081 Count: 1
Case D10082 Count: 1
Case D10089 Count: 1
Case D10096 Count: 1
Case D10106 Count: 1
Case D10108 Count: 1
Case D10110 Count: 2
Case D10121 Count: 1
Case D10126 Count: 1
Case D10129 Count: 1
Case D10133 Count: 1
Case D10135 Count: 1
Case D10137 Count: 2
Case D10148 Count: 1
Case D10150 Count: 1
Case D10154 Count: 1
Case D10158 Count: 1
Case D10160 Count: 1
Case D10166 Count: 1
Case D10172 Count: 1
Case D10177 Count: 2
Case D10179 Count: 1
Case D10190 Count: 1
Case D10192 Count: 1
Case D10194 Count: 1
Case D10196 Count: 1
Case D10197 Count: 1
Case D10198 Count: 1
Case D10204 Count: 1
Case D10209 Count: 1
Case D10211 Count: 1
Case D10214 Count: 1
Case D10217 Count: 1
Case D10218 Count: 1
Case D10219 Count: 1
Case D10221 Count: 1
Case D10222 Count: 1
Case D10224 Count: 1
Case D10225 Count: 1
Case D10238 Count: 1
Case D10239 Count: 1
Case D10248 Count: 1
Case D10249 Count: 1
Case D10251 Count: 1
Case D10253 Count: 1
Case D10266 Count: 1
Case D10267 Count: 1
Case D10269 Count: 1
Case D10271 Count: 1
Case D10272 Count: 1
Case D10275 Count: 2
Case D10286 Count: 1
Case D10291 Count: 1
Case D10299 Count: 1
Case D10300 Count: 1
Case D10309 Count: 1
Case D10311 Count: 1
Case D10312 Count: 1
Case D10323 Count: 1
Case D10325 Count: 1
Case D10331 Count: 1
Case D10332 Count: 3
Case D10333 Count: 1
Case D10339 Count: 1
Case D10341 Count: 1
Case D10344 Count: 1
Case D10345 Count: 1
Case D10347 Count: 1
Case D10349 Count: 1
Case D10350 Count: 1
Case D10352 Count: 2
Case D10357 Count: 1
Case D10364 Count: 1
Case D10367 Count: 1
Case D10368 Count: 1
Case D10370 Count: 1
Case D10373 Count: 1
Case D10376 Count: 1
Case D10384 Count: 1
Case D10388 Count: 1
Case D10390 Count: 1
Case D10391 Count: 1
Case D10397 Count: 1
Case D10405 Count: 2
Case D10406 Count: 1
Case D10407 Count: 1
Case D10408 Count: 1
Case D10420 Count: 1
Case D10423 Count: 1
Case D10429 Count: 2
Case D10430 Count: 1
Case D10435 Count: 1
Case D10437 Count: 1
Case D10439 Count: 1
Case D10443 Count: 1
Case D10445 Count: 1
Case D10446 Count: 1
Case D10453 Count: 2
Case D10457 Count: 1
Case D10468 Count: 1
Case D10471 Count: 1
Case D10480 Count: 1
Case D10481 Count: 1
Case D10483 Count: 1
Case D10492 Count: 1
Case D10496 Count: 1
Case D10507 Count: 1
Case D10510 Count: 1
Case D10511 Count: 1
Case D10512 Count: 1
Case D10515 Count: 1
Case D10516 Count: 1
Case D10518 Count: 1
Case D10519 Count: 1
Case D10521 Count: 1
Case D10522 Count: 1
Case D10530 Count: 1
Case D10532 Count: 1
Case D10543 Count: 1
Case D10544 Count: 1
Case D10560 Count: 2
Case D10563 Count: 2
Case D10568 Count: 2
Case D10570 Count: 2
Case D10580 Count: 1
Case D10583 Count: 2
Case D10584 Count: 1
Case D10588 Count: 1
Case D10589 Count: 1
Case D10591 Count: 1
Case D10596 Count: 1
Case D10597 Count: 1
Case D10599 Count: 1
Case D10600 Count: 1
Case D10611 Count: 1
Case D10612 Count: 1
Case D10613 Count: 1
Case D10614 Count: 3
Case D10619 Count: 1
Case D10620 Count: 1
Case D10621 Count: 2
Case D10622 Count: 1
Case D10634 Count: 1
Case D10638 Count: 2
Case D10640 Count: 1
Case D10642 Count: 1
Case D10651 Count: 1
Case D10652 Count: 1
Case D10656 Count: 2
Case D10659 Count: 1
Case D10666 Count: 1
Case D10668 Count: 1
Case D10669 Count: 1
Case D10674 Count: 1
Case D10680 Count: 2
Case D10682 Count: 1
Case D10692 Count: 1
Case D10696 Count: 1
Case D10699 Count: 2
Case D10710 Count: 1
Case D10712 Count: 1
Case D10719 Count: 1
Case D10721 Count: 1
Case D10724 Count: 1
Case D10726 Count: 1
Case D10728 Count: 1
Case D10731 Count: 1
Case D10732 Count: 1
Case D10736 Count: 1
Case D10738 Count: 2
Case D10739 Count: 1
Case D10753 Count: 1
Case D10755 Count: 1
Case D10762 Count: 1
Case D10765 Count: 1
Case D10766 Count: 1
Case D10768 Count: 1
Case D10770 Count: 1
Case D10778 Count: 1
Case D10780 Count: 1
Case D10781 Count: 1
Case D10786 Count: 1
Case D10788 Count: 1
Case D10789 Count: 1
Case D10791 Count: 1
Case D10799 Count: 2
Case D10801 Count: 1
Case D10806 Count: 1
Case D10807 Count: 2
Case D10809 Count: 1
Case D10812 Count: 1
Case D10814 Count: 1
Case D10820 Count: 1
Case D10823 Count: 1
Case D10825 Count: 1
Case D10827 Count: 1
Case D10829 Count: 1
Case D10831 Count: 1
Case D10836 Count: 1
Case D10838 Count: 2
Case D10840 Count: 2
Case D10841 Count: 1
Case D10848 Count: 1
Case D10856 Count: 1
Case D10857 Count: 1
Case D10863 Count: 1
Case D10865 Count: 2
Case D10868 Count: 1
Case D10870 Count: 1
Case D10881 Count: 1
Case D10884 Count: 1
Case D10893 Count: 1
Case D10896 Count: 1
Case D10902 Count: 1
Case D10903 Count: 1
Case D10906 Count: 1
Case D10909 Count: 1
Case D10910 Count: 1
Case D10911 Count: 1
Case D10913 Count: 1
Case D10916 Count: 1
Case D10922 Count: 1
Case D10930 Count: 2
Case D10931 Count: 1
Case D10933 Count: 1
Case D10939 Count: 2
Case D10940 Count: 1
Case D10943 Count: 1
Case D10945 Count: 1
Case D10947 Count: 1
Case D10951 Count: 1
Case D10954 Count: 2
Case D10959 Count: 1
Case D10964 Count: 1
Case D10966 Count: 1
Case D10970 Count: 1
Case D10971 Count: 2
Case D10984 Count: 2
Case D10991 Count: 1
Case D10993 Count: 1
Case D11000 Count: 1
Case D11004 Count: 2
Case D11005 Count: 1
Case D11010 Count: 1
Case D11012 Count: 1
Case D11022 Count: 1
Case D11025 Count: 1
Case D11027 Count: 1
Case D11029 Count: 1
Case D11030 Count: 1
Case D11034 Count: 1
Case D11035 Count: 1
Case D11046 Count: 1
Case D11047 Count: 1
Case D11056 Count: 1
Case D11058 Count: 3
Case D11060 Count: 1
Case D11067 Count: 3
Case D11068 Count: 1
Case D11073 Count: 1
Case D11077 Count: 1
Case D11090 Count: 1
Case D11093 Count: 1
Case D11094 Count: 1
Case D11095 Count: 1
Case D11105 Count: 1
Case D11114 Count: 1
Case D11116 Count: 1
Case D11123 Count: 1
Case D11124 Count: 1
Case D11128 Count: 1
Case D11132 Count: 1
Case D11133 Count: 1
Case D11136 Count: 1
Case D11141 Count: 1
Case D11144 Count: 1
Case D11156 Count: 1
Case D11160 Count: 1
Case D11169 Count: 1
Case D11173 Count: 2
Case D11176 Count: 1
Case D11185 Count: 1
Case D11193 Count: 1
Case D11196 Count: 1
Case D11198 Count: 1
Case D11210 Count: 1
Case D11214 Count: 1
Case D11221 Count: 1
Case D11232 Count: 1
Case D11236 Count: 1
Case D11237 Count: 1
Case D11243 Count: 1
Case D11247 Count: 1
Case D11248 Count: 1
Case D11257 Count: 1
Case D11262 Count: 2
Case D11265 Count: 1
Case D11268 Count: 1
Case D11269 Count: 1
Case D11282 Count: 1
Case D11285 Count: 3
Case D11287 Count: 2
Case D11293 Count: 1
Case D11295 Count: 1
Case D11297 Count: 1
Case D11302 Count: 1
Case D11303 Count: 1
Case D11310 Count: 1
Case D11312 Count: 2
Case D11317 Count: 1
Case D11326 Count: 1
Case D11327 Count: 1
Case D11333 Count: 1
Case D11348 Count: 2
Case D11351 Count: 1
Case D11353 Count: 2
Case D11356 Count: 1
Case D11357 Count: 1
Case D11358 Count: 1
Case D11361 Count: 1
Case D11365 Count: 1
Case D11381 Count: 1
Case D11383 Count: 1
Case D11385 Count: 1
Case D11388 Count: 1
Case D11397 Count: 1
Case D11401 Count: 1
Case D11405 Count: 1
Case D11407 Count: 1
Case D11416 Count: 1
Case D11420 Count: 2
Case D11426 Count: 2
Case D11427 Count: 1
Case D11429 Count: 1
Case D11430 Count: 1
Case D11431 Count: 1
Case D11433 Count: 1
Case D11435 Count: 1
Case D11442 Count: 1
Case D11443 Count: 1
Case D11446 Count: 2
Case D11458 Count: 1
Case D11459 Count: 1
Case D11461 Count: 1
Case D11462 Count: 1
Case D11463 Count: 1
Case D11479 Count: 1
Case D11482 Count: 2
Case D11489 Count: 1
Case D11492 Count: 1
Case D11499 Count: 1
Case D11503 Count: 1
Case D11506 Count: 1
Case D11510 Count: 1
Case D11514 Count: 1
Case D11515 Count: 1
Case D11517 Count: 1
Case D11519 Count: 1
Case D11527 Count: 1
Case D11529 Count: 1
Case D11531 Count: 1
Case D11532 Count: 1
Case D11540 Count: 1
Case D11545 Count: 1
Case D11546 Count: 1
Case D11548 Count: 1
Case D11550 Count: 1
Case D11552 Count: 1
Case D11557 Count: 1
Case D11562 Count: 1
Case D11573 Count: 1
Case D11576 Count: 2
Case D11580 Count: 1
Case D11585 Count: 2
Case D11588 Count: 1
Case D11590 Count: 1
Case D11591 Count: 2
Case D11592 Count: 1
Case D11594 Count: 1
Case D11602 Count: 1
Case D11606 Count: 1
Case D11611 Count: 1
Case D11613 Count: 2
