Elliptic curve parameters:
name = secp256k1
mode = legacy
p = 115792089237316195423570985008687907853269984665640564039457584007908834671663
a = 0
b = 7
g = (55066263022277343669578718895168534326250603453777594175500187360389116729240, 32670510020758816978083085130507043184471273380659243275938904335757337482424)
n = 115792089237316195423570985008687907852837564279074904382605163141518161494337

----------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------
case                                                                             s                                                                               s_zk                                                                            s_rxk                                                                           s_zr                                                                            z                                                                               r                                                                               x                                                                               k-1                                                                             q                                                                               a                                                                               m1                                                                                                                                                                                             m2                                                                                                                                                                                             f                                                                                    
----------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------
D5                                                                               64201510912198583782233403325597950324009845686560713829327444819019673730863   107667276227134426486662276996539339218301591287517723996843785012622395173956  72326323922380352719142111337746518958545818678117894215088822947915440051244   107610290119699587634713842544349859176148314106351621477324358436907022729330  102075434830493042870242043579972885263346725852910978305392715178207421323334  7900174846019691881864033062183567705331736661491748064259165429450823434463    7143612529426403923280538424914836989871907346610287706058718819222991499076    36475701279346365153084252170281310092270465592901949383764600163644552694611   43408779207501003852480439218751908852138468419790907647996913617887348998467   20792731704697579929752964106846041471871377266769806181330531201132324732396   -                                                                                                                                                                                              -                                                                                                                                                                                              5.178120785486295204344179704278998418319403069678305166394580070954190062446095     
D0                                                                               70404498457379896001499202077186203161508078786778958273886265229821004075236   26696985914012306350207021107097637127701927264133131611613697159822896171795   43707512543367589651292180970088566033806151522645826662272568069998107903441   105832128837691603700658663970534657902606117352150185319103330325248500243974  102075434830493042870242043579972885263346725852910978305392715178207421323334  22729123249584982663716866742288046873747720783582244222927210106857229604227   7143612529426403923280538424914836989871907346610287706058718819222991499076    61276392766993362389404211512903879302912332479909836520250481888630538548677   35427630380311707699159461893348454741098038565371227045217065095427496168738   34976868077068188302339740183837748420410040221407731228669200134393507906498   -                                                                                                                                                                                              -                                                                                                                                                                                              0.763275484105324914015123288900520398632095151481935104368054993136491463970869     
D2                                                                               68668121072520624711547015026344321103413240862495116058434353424860498716172   47538279954857408147993320073521736522743900553462966383302978099534281553383   21129841117663216563553694952822584580669340309032149675131375325326217162789   91714100804852533720466729838182696282536470315939763478100743130879401394172   52015812273314236856416408079188709345663359343882538178867919546331509988386   87706478540677406934165204990999594125727424094332368595483969324213003553500   91903981280491368320787747238831699168543306161638889034732679227737110379836   42651498024801087446887398785590827344996702333865572088305576232421598416409   23045979732331909008919714811838375179123229453444647419666389706018902678000   22576161607856806693707585402667570745166781955605821219101574012822693360172   -                                                                                                                                                                                              -                                                                                                                                                                                              2.105684782939959547886671836434273736531181906149383677105935628730496345711322     
D10                                                                              44896289883993009268740804313184386498616652363190210298381958916773466997144   71253329291888610275624441527136732698497289037129493691785311203216833307726   89435049829420594416687347794735561652956927605135620989201810855074795183755   63796688026912172057749555214348546064208738514026910829136817054149105800103   52015812273314236856416408079188709345663359343882538178867919546331509988386   38744724490888581538299095739987613789260907444258063593425642469531961410259   91903981280491368320787747238831699168543306161638889034732679227737110379836   9553177575298911445231768576053156143690666240468730161543472172380368232201    18900398142919162789008750901164159565592086150836700530754858137375638802959   7095493598154683690723302510856067367432480061516809236872242642022189391226    -                                                                                                                                                                                              -                                                                                                                                                                                              10.04205391861947083572718900491770884377145278830452162727672973452381172218863     
D104                                                                             76401110653806058176343869856535401271573348847563863739212254975793783414728   112126947681405254692378699220187294145430196994761181116080192433308537474439  80066252209716998907536155645036014978980716131877587005737225684003407434626   78003829632390814886485079221187735696662045477820255819458235807500732578606   52015812273314236856416408079188709345663359343882538178867919546331509988386   102715903593449701163741623343521908274024420113469221372840524484659505758652  91903981280491368320787747238831699168543306161638889034732679227737110379836   62709882710553338824712551331216602573777898421854502730312646109682621085886   1602718978584756710141209364652334425088696630256392080245980831706949163878    1073318660322492799707029717875683292404607225513435967651155885567172712462    -                                                                                                                                                                                              -                                                                                                                                                                                              104.4675284483689391597742518329745408851070084218129907634623412613761209391177     
D2                                                                               63201419292537853030780206238751390512442949298340924577263401645822525555436   56626475992662779063941304692011782750581422192405715598711712597294041557221   6574943299875073966838901546739607761861527105935208978551689048528483998215    100480838575728457475619045585479598307172298452439007963935223527375693999220  52015812273314236856416408079188709345663359343882538178867919546331509988386   112061665285270635499048844577586249653396337105922772746991050305049501807228  91903981280491368320787747238831699168543306161638889034732679227737110379836   48520593639684671563312302206818733475824060978517604371691514190726720976747   37279419283190604444838839346728207794729349154098083386671821881553168443784   25922000009347248585941366892023182717713600144242841190591579764269357111652   -                                                                                                                                                                                              -                                                                                                                                                                                              2.184494868152293900802739094921538930696222248829006163954320772725069055923151     
D7                                                                               73124908866496412312168150053364979948101630402760650476043020336576764410436   91254596018278272646989177654165415725718410757348475352598902207597365348645   97662402085534335088749957407887472075220783924487079506049281270497560556128   103270642727355065528218759318230862401245056311067856314107930708453757048192  20212368497567914749983444740340822417260728089348615362541735949808206938709   48330651072636428747291655634716596332375455570950902818529552832897589027619   13718541367517058046375300614112965130340710165577641553736462503540050320477   43221768715961107689652357340221341768792178045865552241307265419982074569029   30145733860858653216050609264865882453143425908307205838064910371876992637756   12833441144779105880066931523633215041814778586146238799913199592822779134924   -                                                                                                                                                                                              -                                                                                                                                                                                              7.110688005562905615841870260318797088158368082701035674372322203522199371621347     
D2                                                                               62519170320458721344192041424679690433742737852831865223975551679632761325836   38096160978410668073627570025902514575009066006993792243177118444276647404399   24423009342048053270564471398777175858733671845838072980798433235356113921437   108301170502195343488563897806569495488574999201273862597034645501652844288838  20212368497567914749983444740340822417260728089348615362541735949808206938709   8153764650377488776969872195612192889545348490978908831286856174847723397792    13718541367517058046375300614112965130340710165577641553736462503540050320477   92823080149665107093483166918110951113641501206441251972058461043221139910157   45782000181736622144371856381889805054832261348441997373059093822020082963002   16737170138722099199820185042789885378910476504389867850916457857612678362834   -                                                                                                                                                                                              -                                                                                                                                                                                              2.276141107646011574595284513834943832407802434411823199001132677667984687433996     
D8                                                                               38685616921312184542261165093309068170278330399862606734981033562268793276309   63086053931584476754179600456542065319836944476753647882667428482321215780797   91391652227043903211652549645454910703278950202183863234918768221465738989849   54111480426966573014347539435064356860832876808635418629822967647182317185450   20212368497567914749983444740340822417260728089348615362541735949808206938709   71893091555598317389312897595849644609381583411685502512641634456846917061515   13718541367517058046375300614112965130340710165577641553736462503540050320477   111063123684929918147889315809057234578046713426187176109693045015726604000499  15425863505654388472086374341755288690554546408772811894841934084913523909141   7833889910003407598088416409798490789169237582316982945297165392441745458027    -                                                                                                                                                                                              -                                                                                                                                                                                              8.052966617647686024289205647055303764939720098590288776505247483482524199548115     
